"";"OPK";"AVT";"GPN";"SDRL";"LEG";"ITC";"TEG";"IEX";"CSGP";"CSL"
"2010-03-01";2.05;27.65;43.43;15.37;15.53;16.36;35.3;28.99;39.63;32.87
"2010-03-02";2.05;27.71;43.17;15.3;15.68;16.49;35.77;29.18;39.96;33.29
"2010-03-03";2.02;28.01;42.48;15.46;16;16.43;35.85;29.02;41.05;33.21
"2010-03-04";2.02;27.24;42.41;15.37;16.29;16.35;35.87;28.78;41.11;33.28
"2010-03-05";2.05;27.45;43.31;15.69;16.56;16.49;36.16;29.55;41.91;33.53
"2010-03-08";2.01;27.56;43.62;15.5;16.71;16.5;36.31;29.67;41.31;33.83
"2010-03-09";2.01;27.65;44.68;15.46;16.9;16.47;36.64;29.79;41.37;34.6
"2010-03-10";2.02;28.26;45.05;15.96;17.31;16.5;36.86;30;41.8;34.5
"2010-03-11";2.03;28.31;44.9;15.96;17.29;16.58;36.85;30.31;41.99;34.48
"2010-03-12";2.06;28.17;44.85;16.19;17.31;16.62;36.53;30.13;42.29;34.69
"2010-03-15";2.05;27.62;44.27;15.46;17.19;16.75;36.74;30.05;42.87;35
"2010-03-16";2.05;28.08;44.65;15.56;17.39;16.81;37.27;29.92;42.73;35.3
"2010-03-17";2.04;28.88;45.7;15.53;17.51;16.87;36.89;30.13;42.5;35.54
"2010-03-18";1.99;28.64;46.08;15.4;17.66;16.63;36.92;29.66;42.58;35.3
"2010-03-19";2.03;28.45;45.66;15.4;17.46;16.66;36.41;29.48;42;34.97
"2010-03-22";2.01;28.72;46.37;15.17;17.52;16.61;36.27;29.83;42.62;35.43
"2010-03-23";2.02;29.13;46.02;15.69;17.66;16.69;36.43;30.43;42.97;35.99
"2010-03-24";2.03;28.31;44.76;15.46;17.49;16.59;36.13;29.91;42.05;35.87
"2010-03-25";2.02;27.85;45.09;15.27;17.57;16.49;36.1;29.58;41.56;35.95
"2010-03-26";2.03;27.76;45.24;14.97;17.57;16.56;36.46;30.15;41.09;35.64
"2010-03-29";2.03;29.11;45.51;15.27;17.51;16.73;36.97;30.51;41.31;35.79
"2010-03-30";2.02;29.87;45.96;14.9;17.71;16.69;37.34;30.7;42.03;35.76
"2010-03-31";1.98;29.36;45.19;15.46;17.6;16.65;37.3;30.4;41.52;35.45
"2010-04-01";2;29.75;45.28;15.63;17.64;16.84;37.85;30.46;41.78;35.71
"2010-04-05";2.02;31.26;44.34;15.76;17.67;16.88;37.9;30.87;42.79;35.87
"2010-04-06";2.02;30.53;44.87;16.39;17.7;17.08;38.44;30.93;43.22;35.98
