"";"leto";"mesec";"dan";"1";"2";"3";"4";"5";"6";"7"
"791";"2013";"02";"25";"MSG";"STRZA";"AXLL";"BRKR";"SM";"RVBD";"CNL"
"801";"2013";"03";"11";"MSG";"STRZA";"BRKR";"AXLL";"RVBD";"CNL";"SM"
"811";"2013";"03";"25";"STRZA";"AXLL";"MSG";"BRKR";"RVBD";"SM";"CNL"
"821";"2013";"04";"09";"STRZA";"MSG";"BRKR";"AXLL";"CNL";"SM";"RVBD"
"831";"2013";"04";"23";"STRZA";"MSG";"BRKR";"SM";"AXLL";"CNL";"RVBD"
"841";"2013";"05";"07";"STRZA";"MSG";"AXLL";"CNL";"SM";"RVBD";"BRKR"
"851";"2013";"05";"21";"STRZA";"MSG";"CNL";"SM";"AXLL";"RVBD";"BRKR"
"861";"2013";"06";"05";"STRZA";"MSG";"CNL";"SM";"RVBD";"BRKR";"AXLL"
"871";"2013";"06";"19";"STRZA";"MSG";"CNL";"SM";"RVBD";"AXLL";"BRKR"
"881";"2013";"07";"03";"STRZA";"MSG";"CNL";"SM";"AXLL";"BRKR";"RVBD"
"891";"2013";"07";"18";"STRZA";"MSG";"CNL";"SM";"RVBD";"AXLL";"BRKR"
"901";"2013";"08";"01";"SM";"CNL";"RVBD";"STRZA";"MSG";"AXLL";"BRKR"
"911";"2013";"08";"15";"SM";"STRZA";"MSG";"CNL";"RVBD";"BRKR";"AXLL"
"921";"2013";"08";"29";"SM";"STRZA";"MSG";"RVBD";"BRKR";"CNL";"AXLL"
"931";"2013";"09";"13";"SM";"BRKR";"STRZA";"RVBD";"MSG";"CNL";"AXLL"
"941";"2013";"09";"27";"SM";"STRZA";"BRKR";"CNL";"MSG";"RVBD";"AXLL"
"951";"2013";"10";"11";"SM";"STRZA";"BRKR";"CNL";"MSG";"RVBD";"AXLL"
"961";"2013";"10";"25";"SM";"STRZA";"BRKR";"CNL";"MSG";"AXLL";"RVBD"
"971";"2013";"11";"08";"SM";"STRZA";"BRKR";"CNL";"MSG";"AXLL";"RVBD"
"981";"2013";"11";"22";"SM";"STRZA";"BRKR";"CNL";"AXLL";"RVBD";"MSG"
"991";"2013";"12";"09";"SM";"STRZA";"AXLL";"BRKR";"CNL";"MSG";"RVBD"
"1001";"2013";"12";"23";"SM";"STRZA";"CNL";"AXLL";"RVBD";"BRKR";"MSG"
"1011";"2014";"01";"08";"STRZA";"SM";"AXLL";"CNL";"RVBD";"MSG";"BRKR"
"1021";"2014";"01";"23";"RVBD";"STRZA";"SM";"CNL";"AXLL";"MSG";"BRKR"
"1031";"2014";"02";"06";"RVBD";"CNL";"SM";"AXLL";"STRZA";"MSG";"BRKR"
"1041";"2014";"02";"21";"RVBD";"CNL";"BRKR";"AXLL";"SM";"STRZA";"MSG"
"1051";"2014";"03";"07";"RVBD";"CNL";"BRKR";"STRZA";"AXLL";"SM";"MSG"
"1061";"2014";"03";"21";"BRKR";"RVBD";"CNL";"STRZA";"AXLL";"SM";"MSG"
"1071";"2014";"04";"04";"BRKR";"STRZA";"CNL";"RVBD";"AXLL";"SM";"MSG"
"1081";"2014";"04";"21";"STRZA";"BRKR";"RVBD";"CNL";"SM";"MSG";"AXLL"
"1091";"2014";"05";"05";"RVBD";"MSG";"SM";"AXLL";"CNL";"BRKR";"STRZA"
"1101";"2014";"05";"19";"CNL";"MSG";"SM";"AXLL";"STRZA";"BRKR";"RVBD"
"1111";"2014";"06";"03";"CNL";"MSG";"SM";"RVBD";"BRKR";"STRZA";"AXLL"
"1121";"2014";"06";"17";"AXLL";"CNL";"BRKR";"STRZA";"SM";"MSG";"RVBD"
"1131";"2014";"07";"01";"CNL";"AXLL";"BRKR";"RVBD";"STRZA";"MSG";"SM"
"1141";"2014";"07";"16";"CNL";"AXLL";"SM";"STRZA";"RVBD";"BRKR";"MSG"
"1151";"2014";"07";"30";"CNL";"SM";"RVBD";"STRZA";"BRKR";"MSG";"AXLL"
"1161";"2014";"08";"13";"CNL";"SM";"MSG";"STRZA";"AXLL";"RVBD";"BRKR"
"1171";"2014";"08";"27";"MSG";"CNL";"SM";"AXLL";"STRZA";"BRKR";"RVBD"
"1181";"2014";"09";"11";"MSG";"SM";"CNL";"AXLL";"RVBD";"BRKR";"STRZA"
"1191";"2014";"09";"25";"MSG";"SM";"CNL";"STRZA";"AXLL";"BRKR";"RVBD"
"1201";"2014";"10";"09";"MSG";"STRZA";"AXLL";"RVBD";"BRKR";"CNL";"SM"
"1211";"2014";"10";"23";"MSG";"STRZA";"SM";"AXLL";"RVBD";"BRKR";"CNL"
"1221";"2014";"11";"06";"MSG";"STRZA";"SM";"BRKR";"AXLL";"RVBD";"CNL"
"1231";"2014";"11";"20";"MSG";"STRZA";"RVBD";"SM";"BRKR";"AXLL";"CNL"
"1241";"2014";"12";"05";"MSG";"RVBD";"STRZA";"AXLL";"CNL";"SM";"BRKR"
"1251";"2014";"12";"19";"MSG";"RVBD";"CNL";"STRZA";"AXLL";"SM";"BRKR"
