"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM"
"2010-01-27";28,01202;35,94343;54,83681;47,07713;20,82358;61,67996;27,5826;27,40152;13,6896;141,72296;24,47556;114,00941;16,95935;53,46907;34,8204;23,38083;53,86362;72,26965;31,49021;25,82901;29,74973;15,60295;51,55662;44,42595;30,83148;59,84975;20,16446;21,62336;46,93141;57,11776
"2010-01-28";26,85451;34,79086;55,39466;45,68525;20,25689;61,29498;27,12933;27,42956;13,57202;143,39745;24,03598;111,68103;16,69122;53,77249;34,9532;23,23929;53,10296;70,90856;30,94418;25,38504;29,5266;15,2991;52,29424;43,87608;31,00772;59,6373;19,86167;21,23244;46,2371;56,61229
"2010-01-29";25,88026;35,00464;53,65914;46,02;20,21192;60,35765;27,37276;27,61647;13,50483;139,12238;24,62501;110,45367;16,2555;52,98023;34,47511;23,26931;52,76488;70,68024;31,11533;24,5319;29,63352;15,32373;52,18402;44,2252;30,60887;59,73468;19,71267;21,29759;46,95778;56,1504
"2010-02-01";26,24005;35,51586;54,63316;46,63666;20,44579;61,57953;28,25412;27,58844;13,64761;143,24777;24,95909;112,51131;16,43147;53,17408;35,086;23,32507;53,99885;70,63634;31,21312;24,73213;29,79621;15,43049;52,55706;44,24266;30,72945;59,79664;20,10438;21,43514;47,00172;57,67551
"2010-02-02";26,39232;36,26875;54,84566;47,17403;20,70665;62,30764;28,22894;28,01834;14,15152;146,81189;25,52175;113,28743;16,68284;53,93263;35,90051;23,61245;54,11718;70,62756;32,22368;24,77565;29,71719;15,80003;53,32859;44,59178;31,58279;60,22154;20,18849;21,52201;47,01051;58,35528
"2010-02-03";26,84643;35,6274;54,79218;47,03308;20,75162;61,26987;28,11143;28,73796;14,00875;147,08318;25,02942;113,40475;16,62202;53,62921;35,67032;23,53525;55,1145;71,56715;31,55541;24,92365;29,74973;15,43529;53,11663;44,13792;30,90569;60,40744;20,07073;21,1311;47,69602;58,04154
"2010-02-04";25,87891;34,88381;52,88435;45,28002;20,83258;59,72997;27,29721;27,72862;13,47124;140,95587;24,55468;111,00417;16,06458;52,79481;33,95276;22,91759;54,14253;69,55625;30,23516;24,23592;28,86188;14,9462;52,05684;43,40476;30,108;58,76093;19,95779;20,7257;46,5535;56,40313
"2010-02-05";26,33842;35,18125;52,06416;45,58835;21,31831;59,57096;27,47348;27,60713;13,26128;144,2113;24,59864;111,47346;16,44466;52,79481;33,9085;22,77176;53,55936;68,9679;29,93363;24,39262;28,6806;14,88817;51,97206;43,8848;30,18221;58,86716;19,84004;20,80533;46,97535;56,47285
"2010-02-08";26,15785;34,19599;51,60949;44,73384;21,13841;58,6922;27,02021;27,55105;13,10171;141,34879;25,13492;110,48537;16,3433;52,56724;33,37729;22,58303;53,17902;68,081;29,81953;24,13145;28,49466;14,7887;51,72618;42,81125;30,06162;57,89342;19,95779;20,53749;46,51834;56,44653
"2010-02-09";26,43678;34,8931;53,25879;47,15641;21,48922;59,67975;27,59939;27,8875;13,10171;142,64908;25,38108;111,69102;16,59669;52,89595;33,98817;23,16637;53,72839;69,12597;29,72174;24,38391;29,05712;14,82186;52,36206;43,26511;30,60887;58,88486;20,01066;20,81257;46,79958;57,19213
