OPK
 AVT
 GPN
 SDRL
 LEG
 ITC
 TEG
 IEX
 CSGP
 CSL
 MIDD
 GAS
 UGI
 MSG
 SUNE
 ARW
 NEU
 INGR
 CVD
 MPLX
 SAVE
 ALSN
 WCN
 ENLC
 SFM
 AOS
 NFG
 MIC
 CYH
 JEC
 DPZ
 IACI
 LAMR
 VNTV
 FTNT
 HDS
 HUN
 PSXP
 JKHY
 OII
 NVR
 CVC
 BRCD
 BBRY
 NGLS
 LECO
 YNDX
 ATO
 JBLU
 SBH
 SIRO
 SSNC
 GWR
 WR
 DCI
 WIN
 PKI
 ONNN
 KAR
 CDNS
 GNTX
 AKRX
 SCTY
 BC
 ODP
 GPK
 LYV
 ATHN
 EGN
 SCI
 TRN
 EQM
 NCR
 AVY
 DDS
 AMCX
 URBN
 R
 SATS
 Z
 NPSP
 ROL
 VET
 PDCO
 NDSN
 DNB
 FSLR
 CNK
 NE
 DXCM
 SON
 TFX
 CPRT
 OC
 ULTI
 INFA
 NS
 MSM
 WLL
 DO
 APU
 LII
 BMS
 FLO
 TE
 STLD
 KEX
 IPGP
 RGLD
 DPM
 PBI
 AGCO
 WTR
 XLS
 ZBRA
 NUAN
 ALGN
 HXL
 GGG
 FLIR
 BAH
 WOOF
 SIX
 VC
 NFX
 RS
 TLLP
 GEL
 ACM
 MDU
 THC
 HNT
 IGT
 FOSL
 TCP
 SGEN
 FANG
 GNC
 JOY
 JBL
 OI
 CRI
 USG
 TMH
 ALB
 ATR
 CREE
 KATE
 PNRA
 TER
 ARRS
 STR
 IM
 GXP
 WNR
 BERY
 LINE
 CPHD
 HEI
 SYNT
 WEN
 QEP
 DLB
 EXP
 PAY
 GME
 CR
 DST
 BWP
 TRGP
 SMG
 SAM
 WEX
 UNFI
 PTC
 EAT
 NATI
 HLS
 INT
 MMS
 SWFT
 SWI
 COLM
 STE
 TYL
 SHLD
 TTC
 GWRE
 WST
 CYT
 AVP
 ITT
 BDC
 MANH
 DAN
 TKR
 TDY
 WSO
 ESL
 GPOR
 WCC
 OILT
 ACHC
 JACK
 RGC
 CAB
 VVC
 ACAD
 ALR
 SLH
 AGIO
 CCO
 CGNX
 WCG
 TUP
 OSK
 BWLD
 CIE
 CHH
 SLGN
 SPWR
 POL
 RRD
 ATI
 X
 HSNI
 CAVM
 TECH
 AZPN
 SPW
 TEN
 VRNT
 PRXL
 THS
 CASY
 CRL
 ATML
 RBC
 HE
 SKX
 YELP
 GEVA
 GNRC
 BIO
 DDD
 MORN
 LDOS
 RH
 CVI
 SPN
 GSPC
